"objectid","name","address","city","zip","phone","website","lat","lng"
"27","Point Loma/Hervey","3701 Voltaire Street","San Diego, CA","92107","(619) 531-1539","http://www.sandiego.gov/public-library/","32.73999340968029","-117.22933321337644"
"28","Rancho Bernardo","17110 Bernardo Center Drive","San Diego, CA","92128","(858) 538-8163","http://www.sandiego.gov/public-library/","33.024936750073806","-117.07492025594875"
"29","Rancho Penasquitos","13330 Salmon River Road","San Diego, CA","92129","(858) 538-8159","http://www.sandiego.gov/public-library/","32.957988224948046","-117.1219306762339"
"30","San Carlos","7265 Jackson Dr","San Diego, CA","92119","(619) 527-3430","http://www.sandiego.gov/public-library/","32.80197144963634","-117.04024743134724"
"31","San Ysidro","4235 Beyer Blvd","San Diego, CA","92173","(619) 424-0475","http://www.sandiego.gov/public-library/","32.557800751275394","-117.04310394868537"
"32","Scripps Ranch","10301 Scripps Lake Drive","San Diego, CA","92131","(858) 538-8158","http://www.sandiego.gov/public-library/","32.91128110891875","-117.10516125674734"
"33","Serra Mesa-Kearny Mesa","9005 Aero Dr","San Diego, CA","92123","(858) 573-1396","http://www.sandiego.gov/public-library/","32.80936133348351","-117.1338709008086"
"34","Skyline Hills","7900 Paradise Valley Rd","San Diego, CA","92139","(619) 527-3485","http://www.sandiego.gov/public-library/","32.697195784905006","-117.02754274394611"
"35","Pacific Beach/Taylor","4275 Cass St","San Diego, CA","92109","(858) 581-9934","http://www.sandiego.gov/public-library/","32.79409002701627","-117.25024124175785"
"36","Tierrasanta","4985 La Cuenta Drive","San Diego, CA","92124","(858) 573-1384","http://www.sandiego.gov/public-library/","32.820832040680436","-117.09804039550755"
"37","North University Community","8820 Judicial Dr","San Diego, CA","92112","(858) 581-9637","http://www.sandiego.gov/public-library/","32.86764144547084","-117.19913094516083"
"38","University Heights","4193 Park Boulevard","San Diego, CA","92103","(619) 692-4912","http://www.sandiego.gov/public-library/","32.75384310783348","-117.145885175063"
"39","City Heights/Weingart","3795 Fairmount Ave.","San Diego, CA","92105","(619) 641-6100","http://www.sandiego.gov/public-library/","32.747384338427","-117.10036079605021"
"40","Mission Valley","2123 Fenton Parkway","San Diego, CA","92108","(858) 573-5007","http://www.sandiego.gov/public-library/","32.77930697045902","-117.12698633895891"
"41","College-Rolando","6600 Montezuma Road","San Diego, CA","92115","(619) 533-3902","http://www.sandiego.gov/public-library/","32.76946201399191","-117.05600092585414"
"42","University Community","4155 Governor Drive","San Diego, CA","92122","(858) 552-1655","http://www.sandiego.gov/public-library/","32.85397742008994","-117.2009523443579"
"43","San Diego Cental","330 Park Blvd","San Diego, CA","92101","(619) 236-5800","http://www.sandiego.gov/public-library/","32.70872730416719","-117.1542160309588"
