OBJECTID,OSHPD_ID,FACILITY_NAME,LICENSE_NUM,FACILITY_LEVEL_DESC,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,COUNTY_CODE,COUNTY_NAME,ER_SERVICE_LEVEL_DESC,TOTAL_NUMBER_BEDS,FACILITY_STATUS_DESC,FACILITY_STATUS_DATE,LICENSE_TYPE_DESC,LICENSE_CATEGORY_DESC,LATITUDE,LONGITUDE,x,y
11,106304045,HOAG HOSPITAL IRVINE,60000122,Consolidated Facility,16200 Sand Canyon Ave,Irvine,92618,30,Orange,Emergency - Basic,96,Open,8/26/2010 12:00:00 AM,Hospital,General Acute Care Hospital,33.66168,-117.77371,6098042.55411997,2187774.18447414
12,106304113,CHILDREN'S HOSPITAL AT MISSION,60000348,Parent Facility,27700 MEDICAL CENTER RD,MISSION VIEJO,92691,30,Orange,Emergency - Basic,54,Open,1/1/1993 12:00:00 AM,Hospital,General Acute Care Hospital,33.56279,-117.66768,6129813.57325497,2151338.09756956
13,106304306,KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - IRVINE,60000091,Consolidated Facility,6640 Alton Pkwy,Irvine,92618,30,Orange,Emergency - Basic,264,Open,5/7/2008 12:00:00 AM,Hospital,General Acute Care Hospital,33.65921,-117.77401,6097938.14094298,2186876.81389356
14,106304460,HOAG ORTHOPEDIC INSTITUTE,550001431,Parent Facility,16250 Sand Canyon Ave,Irvine,92618,30,Orange,None,70,Open,11/10/2010 12:00:00 AM,Hospital,General Acute Care Hospital,33.6617789,-117.7735916,6098079.10358755,2187809.64273655
15,106304583,"LAGUNA TREATMENT HOSPITAL, LLC",550003560,Parent Facility,24552 Pacific Park Dr,Aliso Viejo,92677,30,Orange,Not Applicable,93,Open,6/15/2016 12:00:00 AM,Hospital,Chemical Dep. Recovery Hospital,33.57191,-117.70173,6119488.05650447,2154799.07293107
16,106304585,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF TUSTIN,60000303,Parent Facility,15120 Kensington Park Dr,Tustin,92782,30,Orange,None,65,Open,4/22/2022 12:00:00 AM,Hospital,General Acute Care Hospital,33.71365,-117.81685,6085201.25959264,2206877.93235581
17,106304589,"ALISO RIDGE BEHAVIORAL HEALTH, LLC",550007782,Parent Facility,200 Freedom Ln,Aliso Viejo,92656,30,Orange,Not Applicable,119,Open,1/14/2022 12:00:00 AM,Hospital,Acute Psychiatric Hospital,33.56252,-117.72868,6111231.45064239,2151497.94994015
18,106330120,THE BETTY FORD CENTER,250000049,Parent Facility,39000 Bob Hope Dr,Rancho Mirage,92270,33,Riverside,Not Applicable,100,Open,7/5/1983 12:00:00 AM,Hospital,Chemical Dep. Recovery Hospital,33.76418,-116.40808,6513625.23574822,2221721.84361281
19,106331145,CORONA REGIONAL MEDICAL CENTER-MAGNOLIA,250000126,Consolidated Facility,730 Magnolia Ave,Corona,92879,33,Riverside,None,78,Open,1/15/1965 12:00:00 AM,Hospital,General Acute Care Hospital,33.8586945,-117.5546427,6165592.65327147,2258557.50878648
20,106331168,EISENHOWER MEDICAL CENTER,250000142,Parent Facility,39000 Bob Hope Dr,Rancho Mirage,92270,33,Riverside,Emergency - Basic,437,Open,12/27/1971 12:00:00 AM,Hospital,General Acute Care Hospital,33.76418,-116.40808,6513625.23574822,2221721.84361281
21,106331194,HEMET GLOBAL MEDICAL CENTER,250000145,Parent Facility,1117 E DEVONSHIRE AVE,HEMET,92543,33,Riverside,Emergency - Basic,327,Open,1/1/1946 12:00:00 AM,Hospital,General Acute Care Hospital,33.75113,-116.95958,6345977.91061047,2217670.51247664
22,106331216,JOHN F. KENNEDY MEMORIAL HOSPITAL,250000155,Parent Facility,47111 Monroe St,Indio,92201,33,Riverside,Emergency - Basic,145,Open,2/18/1966 12:00:00 AM,Hospital,General Acute Care Hospital,33.70677,-116.23391,6566563.69614406,2200794.62464055
23,106332172,KINDRED HOSPITAL - RIVERSIDE,250000234,Parent Facility,2224 MEDICAL CENTER DR,PERRIS,92571,33,Riverside,None,40,Open,5/1/2007 12:00:00 AM,Hospital,General Acute Care Hospital,33.81241,-117.22161,6266537.9585983,2240611.42919314
24,106334001,SOUTHWEST HEALTHCARE SYSTEM-WILDOMAR,250000262,Consolidated Facility,36485 INLAND VALLEY DR,WILDOMAR,92595,33,Riverside,Emergency - Basic,120,Open,1/14/1987 12:00:00 AM,Hospital,General Acute Care Hospital,33.59124,-117.23699,6261104.49604005,2160177.09596765
25,106334018,MENIFEE GLOBAL MEDICAL CENTER,250000338,Parent Facility,28400 MCCALL BLVD,SUN CITY,92585,33,Riverside,Emergency - Basic,84,Open,6/5/1989 12:00:00 AM,Hospital,General Acute Care Hospital,33.72146,-117.15691,6285902.5832548,2207339.14140715
26,106334068,SOUTHWEST HEALTHCARE SYSTEM-MURRIETA,250000262,Parent Facility,25500 MEDICAL CENTER DR,MURRIETA,92562,33,Riverside,Emergency - Basic,120,Open,2/19/1992 12:00:00 AM,Hospital,General Acute Care Hospital,33.55788,-117.18488,6276864.15546556,2147892.32296506
27,106334457,TELECARE RIVERSIDE COUNTY PSYCHIATRIC HEALTH FACILITY,,Parent Facility,47915 Oasis St,Indio,92201,33,Riverside,Not Applicable,16,Open,8/4/2014 12:00:00 AM,Hospital,Psychiatric Health Facility,33.70085,-116.22091,6570517.97432472,2198641.24574523
28,106334564,TEMECULA VALLEY HOSPITAL,550002434,Parent Facility,31700 Temecula Pkwy,Temecula,92592,33,Riverside,Emergency - Basic,140,Open,10/9/2013 12:00:00 AM,Hospital,General Acute Care Hospital,33.4795943,-117.1048018,6301025.43719539,2119197.73238848
29,106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA,550001535,Parent Facility,28100 Baxter Rd,Murrieta,92563,33,Riverside,Emergency - Basic,111,Open,4/12/2011 12:00:00 AM,Hospital,General Acute Care Hospital,33.6122263,-117.1624483,6283870.73069122,2167606.56568873
30,106334678,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF MURRIETA,550005282,Parent Facility,35470 Whitewood Rd,Murrieta,92563,33,Riverside,None,50,Open,2/12/2020 12:00:00 AM,Hospital,General Acute Care Hospital,33.60628,-117.1628,6283744.71421097,2165443.83280948
31,106370033,"CASA PALMERA CARE CENTER, LLC",550005096,Parent Facility,14750 El Camino Real,Del Mar,92014,37,San Diego,Not Applicable,93,Open,12/6/2019 12:00:00 AM,Hospital,Chemical Dep. Recovery Hospital,32.98392,-117.22588,6262419.4648668,1939174.88935089
32,106370652,ALVARADO HOSPITAL MEDICAL CENTER,90000013,Parent Facility,6655 Alvarado Rd,San Diego,92120,37,San Diego,Emergency - Basic,222,Open,8/11/1972 12:00:00 AM,Hospital,General Acute Care Hospital,32.7766415,-117.0573188,6313523.19205546,1863317.51777197
33,106370658,SCRIPPS MERCY HOSPITAL - CHULA VISTA,90000074,Consolidated Facility,435 H ST,CHULA VISTA,91910,37,San Diego,Emergency - Basic,173,Open,10/1/2004 12:00:00 AM,Hospital,General Acute Care Hospital,32.63289,-117.08282,6305267.23809497,1811077.28465423
34,106370673,RADY CHILDREN'S HOSPITAL - SAN DIEGO,80000028,Parent Facility,3020 CHILDRENS WAY,SAN DIEGO,92123,37,San Diego,Emergency - Basic,511,Open,8/18/1954 12:00:00 AM,Hospital,General Acute Care Hospital,32.79678,-117.15077,6284862.90062289,1870879.84418273
35,106370689,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER,90000036,Parent Facility,250 PROSPECT PL,CORONADO,92118,37,San Diego,Emergency - Basic,59,Open,1/1/1946 12:00:00 AM,Hospital,General Acute Care Hospital,32.69427,-117.16808,6279215.24984471,1833629.77268565
36,106370694,SHARP MEMORIAL HOSPITAL,80000039,Parent Facility,7901 FROST ST,SAN DIEGO,92123,37,San Diego,Emergency - Basic,656,Open,11/1/1974 12:00:00 AM,Hospital,General Acute Care Hospital,32.80016,-117.15531,6283478.46769622,1872121.68192214
37,106370695,SHARP MARY BIRCH HOSPITAL FOR WOMEN AND NEWBORNS,80000039,Consolidated Facility,3003 HEALTH CENTER DR,SAN DIEGO,92123,37,San Diego,None,206,Open,11/1/2009 12:00:00 AM,Hospital,General Acute Care Hospital,32.8007,-117.1549,6283606.15805763,1872317.05784373
38,106370714,GROSSMONT HOSPITAL,80000006,Parent Facility,5555 GROSSMONT CENTER DR,LA MESA,91942,37,San Diego,Emergency - Basic,524,Open,8/10/1955 12:00:00 AM,Hospital,General Acute Care Hospital,32.77963,-117.00924,6328308.91051547,1864293.8265149
39,106370721,KINDRED HOSPITAL - SAN DIEGO,90000059,Parent Facility,1940 EL CAJON BLVD,SAN DIEGO,92104,37,San Diego,None,70,Open,1/1/1946 12:00:00 AM,Hospital,General Acute Care Hospital,32.75542,-117.14449,6286663.60273014,1855815.0970813
40,106370730,KAISER FOUNDATION HOSPITAL - SAN DIEGO - ZION,80000062,Parent Facility,4647 ZION AVE,SAN DIEGO,92120,37,San Diego,Emergency - Basic,368,Open,11/18/1975 12:00:00 AM,Hospital,General Acute Care Hospital,32.79287,-117.09447,6302152.02483723,1869312.45656948
41,106370744,SCRIPPS MERCY HOSPITAL,90000074,Parent Facility,4077 5TH AVE,SAN DIEGO,92103,37,San Diego,Emergency - Basic,482,Open,1/1/1946 12:00:00 AM,Hospital,General Acute Care Hospital,32.75128,-117.1609,6281605.39434263,1854352.50912723
42,106370745,SHARP MESA VISTA HOSPITAL,550000273,Parent Facility,7850 VISTA HILL AVE,SAN DIEGO,92123,37,San Diego,Not Applicable,159,Open,9/8/2006 12:00:00 AM,Hospital,Acute Psychiatric Hospital,32.79499,-117.15521,6283492.86497714,1870240.40025164
43,106370749,ALVARADO PARKWAY INSTITUTE B.H.S.,80000079,Parent Facility,7050 PARKWAY DR,LA MESA,91942,37,San Diego,Not Applicable,66,Open,9/30/1959 12:00:00 AM,Hospital,Acute Psychiatric Hospital,32.77446,-117.04449,6317460.27899756,1862493.52073231
44,106370759,PARADISE VALLEY HOSPITAL,90000086,Parent Facility,2400 E 4th St,National City,91950,37,San Diego,Emergency - Basic,227,Open,3/29/1966 12:00:00 AM,Hospital,General Acute Care Hospital,32.6863293,-117.0830382,6305355.40622573,1830520.95770906
45,106370771,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA,80000050,Parent Facility,9888 GENESEE AVE,LA JOLLA,92037,37,San Diego,Emergency - Basic,426,Open,5/3/1964 12:00:00 AM,Hospital,General Acute Care Hospital,32.88506,-117.22279,6263031.38719939,1903197.6542189
46,106370775,PARADISE VALLEY HSP D/P APH BAYVIEW BEH HLTH,90000086,Distinct Part Facility,330 MOSS ST,CHULA VISTA,91911,37,San Diego,None,64,Open,11/30/1977 12:00:00 AM,Hospital,General Acute Care Hospital,32.61669,-117.0717,6308644.2661178,1805155.96513206
47,106370780,TRI-CITY MEDICAL CENTER,80000099,Parent Facility,4002 VISTA WAY,OCEANSIDE,92056,37,San Diego,Emergency - Basic,386,Open,7/11/1961 12:00:00 AM,Hospital,General Acute Care Hospital,33.18394,-117.29027,6243401.1840058,2012139.61284372
48,106370782,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER,90000101,Parent Facility,200 W ARBOR DR,SAN DIEGO,92103,37,San Diego,Emergency - Comprehensive,381,Open,7/1/1953 12:00:00 AM,Hospital,General Acute Care Hospital,32.75387,-117.16498,6280359.26100814,1855305.81890039
49,106370875,SHARP CHULA VISTA MEDICAL CENTER,90000008,Parent Facility,751 MEDICAL CENTER CT,CHULA VISTA,91911,37,San Diego,Emergency - Basic,449,Open,5/27/1975 12:00:00 AM,Hospital,General Acute Care Hospital,32.61909,-117.02488,6323067.76122089,1805918.79431506
50,106370977,PALOMAR MEDICAL CENTER POWAY,80000127,Parent Facility,15615 POMERADO RD,POWAY,92064,37,San Diego,Emergency - Basic,236,Open,6/22/1977 12:00:00 AM,Hospital,General Acute Care Hospital,32.99563,-117.05784,6313980.32237481,1942994.66091082
51,106371256,SCRIPPS GREEN HOSPITAL,80000139,Parent Facility,10666 N TORREY PINES RD,LA JOLLA,92037,37,San Diego,None,173,Open,2/6/1977 12:00:00 AM,Hospital,General Acute Care Hospital,32.89654,-117.2419,6257204.67805231,1907429.69857632
52,106371394,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,80000148,Parent Facility,354 SANTA FE DR,ENCINITAS,92024,37,San Diego,Emergency - Basic,187,Open,6/16/1964 12:00:00 AM,Hospital,General Acute Care Hospital,33.0363,-117.28495,6244495.56764381,1958407.01066348
53,106374024,AURORA SAN DIEGO,80000310,Parent Facility,11878 AVE OF INDUSTRY,SAN DIEGO,92128,37,San Diego,Not Applicable,101,Open,5/19/1988 12:00:00 AM,Hospital,Acute Psychiatric Hospital,32.99067,-117.07551,6308548.3883568,1941232.46496014
54,106374049,SHARP MCDONALD CENTER,80000319,Parent Facility,7989 LINDA VISTA RD,SAN DIEGO,92111,37,San Diego,Not Applicable,16,Open,7/20/1989 12:00:00 AM,Hospital,Chemical Dep. Recovery Hospital,32.80702,-117.15436,6283792.03367014,1874615.04045248
55,106374055,SAN DIEGO COUNTY PSYCHIATRIC HOSPITAL,90000092,Parent Facility,3853 Rosecrans St,San Diego,92110,37,San Diego,Not Applicable,109,Open,7/25/1989 12:00:00 AM,Hospital,Acute Psychiatric Hospital,32.75376,-117.20257,6268802.14796755,1855369.29876031
56,106374063,ALVARADO HOSPITAL MEDICAL CENTER,90000013,Consolidated Facility,6645 ALVARADO RD,SAN DIEGO,92120,37,San Diego,None,80,Open,6/7/1990 12:00:00 AM,Hospital,General Acute Care Hospital,32.7771,-117.05696,6313634.7659793,1863483.48266314
57,106374094,SELECT SPECIALTY HOSPITAL - SAN DIEGO,90000404,Parent Facility,555 WASHINGTON ST,SAN DIEGO,92103,37,San Diego,None,110,Open,4/14/1992 12:00:00 AM,Hospital,General Acute Care Hospital,32.74986,-117.16001,6281874.51716398,1853833.4773569
58,106374141,UCSD HEALTH LA JOLLA - JACOBS MEDICAL CENTER & SULPIZIO CARDIOVASCULAR CENTER,90000101,Consolidated Facility,9300 CAMPUS POINT DR,LA JOLLA,92037,37,San Diego,Emergency - Comprehensive,418,Open,7/20/1993 12:00:00 AM,Hospital,General Acute Care Hospital,32.87799,-117.22331,6262847.74320972,1900626.86014789
59,106374382,PALOMAR MEDICAL CENTER,80000083,Parent Facility,2185 W Citracado Pkwy,Escondido,92029,37,San Diego,Emergency - Basic,286,Open,8/15/2012 12:00:00 AM,Hospital,General Acute Care Hospital,33.12158,-117.11961,6295423.79419921,1988972.32026765
60,106374465,KAISER FOUNDATION HOSPITAL - SAN DIEGO - CLAIREMONT MESA,80000062,Consolidated Facility,9455 Clairemont Mesa Blvd,San Diego,92123,37,San Diego,Emergency - Basic,253,Open,3/30/2017 12:00:00 AM,Hospital,General Acute Care Hospital,32.83154,-117.12581,6292639.17936164,1883461.35149997
61,106374572,PALOMAR REHABILITATION INSTITUTE,550006213,Parent Facility,2181 W Citracado Pkwy,Escondido,92029,37,San Diego,None,52,Open,4/29/2021 12:00:00 AM,Hospital,General Acute Care Hospital,33.12136,-117.11987,6295343.52467471,1988892.9395209
62,206014177,THE COVINGTON CARE CENTER,60000937,Parent Facility,3 Pursuit,Aliso Viejo,92656,30,Orange,Not Applicable,24,Open,7/13/2004 12:00:00 AM,Long Term Care Facility,Skilled Nursing Facility,33.55427,-117.72665,6111807.27855897,2148487.49533114
63,206130728,IMPERIAL MANOR,90000061,Parent Facility,101 E 2ND ST,IMPERIAL,92251,13,Imperial,Not Applicable,31,Open,6/10/1973 12:00:00 AM,Long Term Care Facility,Skilled Nursing Facility,32.840898,-115.569643,6770640.92545597,1886418.13397223
64,206130764,"IMPERIAL HEIGHTS HEALTHCARE & WELLNESS CENTRE, LLC",90000089,Parent Facility,320 CATTLE CALL DR,BRAWLEY,92227,13,Imperial,Not Applicable,99,Open,5/23/1967 12:00:00 AM,Long Term Care Facility,Skilled Nursing Facility,32.97072,-115.54626,6777504.05739897,1933700.0715604
65,206130785,EL CENTRO POST-ACUTE CARE,90000103,Parent Facility,1700 S IMPERIAL AVE,EL CENTRO,92243,13,Imperial,Not Applicable,123,Open,7/29/1963 12:00:00 AM,Long Term Care Facility,Skilled Nursing Facility,32.781885,-115.569862,6770713.72353873,1864946.48662689
66,206300052,ARIAS HOME,550005686,Parent Facility,823 Towne St,Costa Mesa,92627,30,Orange,Not Applicable,6,Open,8/19/2020 12:00:00 AM,Long Term Care Facility,Congregate Living Health Facility,33.64104,-117.93305,6049442.06831589,2181010.11663748
67,206300206,FAIRVIEW DEVELOPMENTAL CENTER D/P ICFDD,170000771,Parent Facility,2501 Harbor Blvd,Costa Mesa,92626,30,Orange,Not Applicable,10,Open,3/1/2020 12:00:00 AM,Long Term Care Facility,ICF/Dev. Disabled,33.66332,-117.91934,6053744.08005305,2189049.38271114
68,206300210,REGENTS POINT - WINDCREST,60000055,Parent Facility,19191 HARVARD AVE,IRVINE,92612,30,Orange,Not Applicable,59,Open,5/1/1985 12:00:00 AM,Long Term Care Facility,Skilled Nursing Facility,33.651493,-117.832164,6080201.52287297,2184332.60474314
69,206300323,ORCHARDS SKILLED NURSING,550006120,Parent Facility,92694,Ladera Ranch,92694,30,Orange,Not Applicable,49,Open,9/24/2021 12:00:00 AM,Long Term Care Facility,Skilled Nursing Facility,33.54638,-117.64086,6137903.39828263,2145257.36465231
70,206301115,LAGUNA HILLS HEALTH AND REHABILITATION CENTER,60000084,Parent Facility,24452 HEALTH CENTER DR,LAGUNA HILLS,92653,30,Orange,Not Applicable,208,Open,9/25/1969 12:00:00 AM,Long Term Care Facility,Skilled Nursing Facility,33.60784,-117.70801,6117758.17512172,2167898.71241415
71,206301118,CAPISTRANO BEACH CARE CENTER,60000085,Parent Facility,35410 DEL REY,CAPISTRANO BEACH,92624,30,Orange,Not Applicable,93,Open,12/11/1966 12:00:00 AM,Long Term Care Facility,Skilled Nursing Facility,33.449501,-117.650584,6134467.35594213,2110048.55022757
72,206301119,VICTORIA HEALTHCARE AND REHABILITATION CENTER,60000086,Parent Facility,340 Victoria St,Costa Mesa,92627,30,Orange,Not Applicable,79,Open,6/28/1966 12:00:00 AM,Long Term Care Facility,Skilled Nursing Facility,33.65264,-117.91374,6055385.82414488,2185136.33279447
73,206301187,NEWPORT NURSING AND REHABILITATION CENTER,60000116,Parent Facility,1555 SUPERIOR AVE,NEWPORT BEACH,92663,30,Orange,Not Applicable,59,Open,10/21/1961 12:00:00 AM,Long Term Care Facility,Skilled Nursing Facility,33.63109,-117.92875,6050692.34731139,2177368.83586231
74,206301202,ADVANCED REHAB CENTER OF TUSTIN,60000121,Parent Facility,2210 E 1ST ST,SANTA ANA,92705,30,Orange,Not Applicable,99,Open,12/5/1958 12:00:00 AM,Long Term Care Facility,Skilled Nursing Facility,33.745463,-117.835981,6079560.17474622,2218541.10391131
75,206301259,MESA VERDE POST ACUTE CARE CENTER,60000144,Parent Facility,661 CENTER ST,COSTA MESA,92627,30,Orange,Not Applicable,80,Open,12/8/1964 12:00:00 AM,Long Term Care Facility,Skilled Nursing Facility,33.64154,-117.92592,6051614.78673947,2181157.0825509
76,206301289,PELICAN RIDGE POST ACUTE,60000154,Parent Facility,466 FLAGSHIP RD,NEWPORT BEACH,92663,30,Orange,Not Applicable,167,Open,8/22/1966 12:00:00 AM,Long Term Care Facility,Skilled Nursing Facility,33.6278,-117.92907,6050575.67562872,2176173.38090414
77,206301290,CRYSTAL COVE CARE CENTER,60000155,Parent Facility,1445 SUPERIOR AVENUE,NEWPORT BEACH,92663,30,Orange,Not Applicable,96,Open,5/27/1968 12:00:00 AM,Long Term Care Facility,Skilled Nursing Facility,33.62682109,-117.9329321,6049394.43816181,2175836.17094864
78,206301302,NEWPORT SUBACUTE HEALTHCARE CENTER,60000158,Parent Facility,2570 NEWPORT BLVD,COSTA MESA,92627,30,Orange,Not Applicable,137,Open,10/12/1999 12:00:00 AM,Long Term Care Facility,Skilled Nursing Facility,33.662118,-117.897567,6060361.43361622,2188506.67054197
79,206301327,COUNTRY VILLA PLAZA CONVALESCENT CENTER,60000168,Parent Facility,1209 Hemlock Way,Santa Ana,92707,30,Orange,Not Applicable,145,Open,11/10/1962 12:00:00 AM,Long Term Care Facility,Skilled Nursing Facility,33.70983,-117.88418,6064706.49579223,2205802.32722355
80,206304002,PALM TERRACE HEALTHCARE & REHABILITATION CENTER,60000226,Parent Facility,24962 Cll Aragon,Laguna Woods,92637,30,Orange,Not Applicable,99,Open,3/18/1987 12:00:00 AM,Long Term Care Facility,Skilled Nursing Facility,33.5996717,-117.7154684,6115445.73256813,2164958.54637848
81,206304007,LAKE FOREST NURSING CENTER,60000230,Parent Facility,25652 Old Trabuco Rd,Lake Forest,92630,30,Orange,Not Applicable,175,Open,6/26/1987 12:00:00 AM,Long Term Care Facility,Skilled Nursing Facility,33.64532,-117.68316,6125511.09039013,2181430.89171456
82,206304020,FREEDOM VILLAGE HEALTHCARE CENTER,60000246,Parent Facility,23442 EL TORO RD,EL TORO,92630,30,Orange,Not Applicable,52,Open,9/2/1988 12:00:00 AM,Long Term Care Facility,Skilled Nursing Facility,33.6292,-117.6894,6123531.19179089,2175591.78757915
83,206304068,VILLA VALENCIA HEALTHCARE CENTER,60000296,Parent Facility,24552 PASEO DE VALENCIA,LAGUNA HILLS,92653,30,Orange,Not Applicable,59,Open,5/10/1991 12:00:00 AM,Long Term Care Facility,Skilled Nursing Facility,33.605683,-117.704465,6118826.48269638,2167098.82096931
84,206304158,MISSION CAPISTRANO HEALTHCARE CENTER,60000526,Parent Facility,31741 RANCHO VIEJO RD,SAN JUAN CAPISTRANO,92675,30,Orange,Not Applicable,45,Open,12/14/1999 12:00:00 AM,Long Term Care Facility,Skilled Nursing Facility,33.501532,-117.653682,6133777.34058988,2128992.12881014
85,206304307,NEURORESTORATIVE CALIFORNIA - SANTA ANA,60000874,Parent Facility,18792 E 17th St,Santa Ana,92705,30,Orange,Not Applicable,14,Open,7/21/2003 12:00:00 AM,Long Term Care Facility,Congregate Living Health Facility,33.7592,-117.80535,6088945.32329872,2223399.12372281
86,206330026,"BRIDGE 2 LIFE - EL NIDO, LLC",550003911,Parent Facility,1637 El Nido Ave,Perris,92571,33,Riverside,Not Applicable,6,Open,6/27/2017 12:00:00 AM,Long Term Care Facility,Congregate Living Health Facility,33.8025,-117.19525,6274512.04927738,2236931.70590957
87,206330222,THE SPRINGS AT THE CARLOTTA,250000099,Parent Facility,41505 Carlotta Dr,Palm Desert,92211,33,Riverside,Not Applicable,59,Open,4/29/1986 12:00:00 AM,Long Term Care Facility,Skilled Nursing Facility,33.74674,-116.34427,6533013.17105363,2215352.02367531
88,206330223,CORONA POST ACUTE CENTER,250000512,Parent Facility,2600 S Main St,Corona,92882,33,Riverside,Not Applicable,176,Open,6/6/1985 12:00:00 AM,Long Term Care Facility,Skilled Nursing Facility,33.84902,-117.5705,6160734.19120364,2255097.77259573
89,206331148,THE BRADLEY GARDENS,250000129,Parent Facility,980 WEST 7TH STREET,SAN JACINTO,92582,33,Riverside,Not Applicable,44,Open,4/3/1964 12:00:00 AM,Long Term Care Facility,Skilled Nursing Facility,33.7801524,-116.9779143,6340478.61911564,2228269.85348265
90,206331193,DEVONSHIRE CARE CENTER,250000144,Parent Facility,1350 E Devonshire Ave,Hemet,92544,33,Riverside,Not Applicable,99,Open,9/5/1969 12:00:00 AM,Long Term Care Facility,Skilled Nursing Facility,33.7512615,-116.9577446,6346536.13685621,2217714.57177173
91,206331200,SAN JACINTO HEALTHCARE,250000242,Parent Facility,275 N San Jacinto St,Hemet,92543,33,Riverside,Not Applicable,99,Open,12/18/1964 12:00:00 AM,Long Term Care Facility,Skilled Nursing Facility,33.75041,-116.95869,6346246.66072914,2217406.6734374
92,206331217,DESERT SPRINGS HEALTHCARE & WELLNESS CENTRE,250000156,Parent Facility,82262 Valencia Ave,Indio,92201,33,Riverside,Not Applicable,68,Open,8/13/1962 12:00:00 AM,Long Term Care Facility,Skilled Nursing Facility,33.72443,-116.23024,6567678.63157822,2207221.15542264
93,206331256,MEADOWBROOK POST ACUTE,250000172,Parent Facility,461 E Johnston Ave,Hemet,92543,33,Riverside,Not Applicable,64,Open,1/1/1962 12:00:00 AM,Long Term Care Facility,Skilled Nursing Facility,33.7330052,-116.9684735,6343229.13165922,2211093.65653589
